task,complexity,trials,passes,pass_rate_pct,avg_cost_usd
bandit-structured-nosec-directives,3.4,16,0,0.0,3.99
csstree-shorthand-expansion-compression,1.8,16,0,0.0,2.49
kombu-virtual-queue-dead-lettering,2.6,16,0,0.0,2.72
koota-deferred-mutation-buffer,4.7,16,0,0.0,5.32
optique-conditional-option-dependencies,5.0,16,0,0.0,7.84
superjson-error-stack-serialization,1.0,16,1,6.2,2.4
bandit-incremental-cache-control,1.7,16,2,12.5,2.22
cliffy-config-file-parsing,2.5,16,2,12.5,2.98
quill-shared-toolbar-focus,3.7,16,2,12.5,3.56
dateutil-rfc5545-timezone-interop,3.0,16,3,18.8,3.0
expr-try-catch-errors,5.8,16,3,18.8,5.99
fastapi-deprecation-response-headers,2.4,16,3,18.8,2.92
clack-async-autocomplete-options,2.6,16,4,25.0,3.79
kombu-single-active-consumer-priority,1.6,16,4,25.0,2.8
abs-stepped-slices,2.1,16,5,31.2,2.78
kcp-go-multiplexed-kcp-streams,1.9,16,5,31.2,3.92
aiomonitor-task-snapshots-diff,1.6,16,6,37.5,2.44
boa-hierarchical-evaluation-cancellation,6.2,16,6,37.5,6.88
claude-code-by-agents-recursive-delegation,0.3,16,6,37.5,2.22
anko-typed-variable-bindings,0.6,16,7,43.8,1.89
arktype-json-schema-refs-dependencies,9.1,16,7,43.8,8.14
fd-deterministic-multi-key-sorting,1.8,16,7,43.8,2.95
task-task-graph-export,2.0,16,7,43.8,2.74
bandit-interprocedural-taint-checks,2.0,16,8,50.0,2.05
cattrs-partial-structuring-recovery,1.8,16,8,50.0,2.6
actionlint-action-pinning-lint,2.1,16,10,62.5,2.43
arcane-drift-detection-baselines,2.1,16,10,62.5,3.03
awilix-async-container-initialization,1.3,16,10,62.5,1.74
abs-module-cache-flags,1.7,16,11,68.8,1.96
anko-default-function-arguments,4.3,16,11,68.8,4.99
psd-tools-blend-range-api,1.8,16,11,68.8,2.38
adaptix-name-mapping-aliases,5.4,16,13,81.2,4.75
yjs-map-conflict-detection,2.8,16,13,81.2,6.0
