task,harness,model,prompt,run,status,start,end,duration_s,outdir
abs-module-cache-flags,opencode,modal-nothink/zai-org/GLM-5.2-FP8,v1,1,pass,1784140585.369,1784140987.309,401.9,glm-nothink__abs-module-cache-flags__run1
abs-module-cache-flags,opencode,modal-high/zai-org/GLM-5.2-FP8,v1,2,fail,1784140585.370,1784141014.602,429.2,glm-high__abs-module-cache-flags__run2
abs-module-cache-flags,opencode,modal-nothink/zai-org/GLM-5.2-FP8,v1,2,fail,1784140585.377,1784141015.199,429.8,glm-nothink__abs-module-cache-flags__run2
abs-module-cache-flags,opencode,modal-high/zai-org/GLM-5.2-FP8,v1,3,fail,1784140585.388,1784141032.599,447.2,glm-high__abs-module-cache-flags__run3
abs-module-cache-flags,opencode,modal-high/zai-org/GLM-5.2-FP8,v1,1,fail,1784140585.367,1784141182.906,597.5,glm-high__abs-module-cache-flags__run1
abs-module-cache-flags,opencode,modal/zai-org/GLM-5.2-FP8,v1,1,pass,1784140585.367,1784141198.578,613.2,glm-default__abs-module-cache-flags__run1
abs-module-cache-flags,opencode,modal-nothink/zai-org/GLM-5.2-FP8,v1,3,fail,1784140987.320,1784141403.998,416.7,glm-nothink__abs-module-cache-flags__run3
abs-module-cache-flags,claude,claude-code/claude-opus-4-8,v1,1,pass,1784140585.369,1784141410.087,824.7,opus__abs-module-cache-flags__run1
abs-module-cache-flags,opencode,modal-high/zai-org/GLM-5.2-FP8,v1,4,pass,1784141032.606,1784141419.044,386.4,glm-high__abs-module-cache-flags__run4
abs-module-cache-flags,claude,claude-code/claude-opus-4-8,v1,2,pass,1784140585.387,1784141459.497,874.1,opus__abs-module-cache-flags__run2
abs-module-cache-flags,opencode,modal/zai-org/GLM-5.2-FP8,v1,3,pass,1784140585.377,1784141486.832,901.5,glm-default__abs-module-cache-flags__run3
abs-module-cache-flags,opencode,modal/zai-org/GLM-5.2-FP8,v1,2,pass,1784140585.370,1784141573.805,988.4,glm-default__abs-module-cache-flags__run2
abs-module-cache-flags,opencode,modal-nothink/zai-org/GLM-5.2-FP8,v1,4,pass,1784141182.913,1784141638.563,455.6,glm-nothink__abs-module-cache-flags__run4
abs-stepped-slices,opencode,modal/zai-org/GLM-5.2-FP8,v1,1,fail,1784141404.009,1784141858.320,454.3,glm-default__abs-stepped-slices__run1
abs-module-cache-flags,claude,claude-code/claude-opus-4-8,v1,3,pass,1784141014.609,1784141882.620,868.0,opus__abs-module-cache-flags__run3
abs-module-cache-flags,opencode,modal/zai-org/GLM-5.2-FP8,v1,4,pass,1784141015.208,1784141912.511,897.3,glm-default__abs-module-cache-flags__run4
abs-stepped-slices,opencode,modal-high/zai-org/GLM-5.2-FP8,v1,1,fail,1784141410.089,1784141930.430,520.3,glm-high__abs-stepped-slices__run1
abs-stepped-slices,opencode,modal-nothink/zai-org/GLM-5.2-FP8,v1,1,pass,1784141419.050,1784141932.905,513.9,glm-nothink__abs-stepped-slices__run1
abs-module-cache-flags,claude,claude-code/claude-opus-4-8,v1,4,pass,1784141198.586,1784141940.301,741.7,opus__abs-module-cache-flags__run4
abs-stepped-slices,opencode,modal-high/zai-org/GLM-5.2-FP8,v1,2,fail,1784141573.815,1784142145.883,572.1,glm-high__abs-stepped-slices__run2
abs-stepped-slices,opencode,modal-nothink/zai-org/GLM-5.2-FP8,v1,2,fail,1784141638.573,1784142200.066,561.5,glm-nothink__abs-stepped-slices__run2
abs-stepped-slices,claude,claude-code/claude-opus-4-8,v1,1,pass,1784141459.499,1784142213.645,754.1,opus__abs-stepped-slices__run1
abs-stepped-slices,opencode,modal/zai-org/GLM-5.2-FP8,v1,2,fail,1784141486.847,1784142260.919,774.1,glm-default__abs-stepped-slices__run2
abs-stepped-slices,opencode,modal/zai-org/GLM-5.2-FP8,v1,3,fail,1784141882.621,1784142270.923,388.3,glm-default__abs-stepped-slices__run3
abs-stepped-slices,opencode,modal/zai-org/GLM-5.2-FP8,v1,4,fail,1784141940.303,1784142280.598,340.3,glm-default__abs-stepped-slices__run4
