task,setup,run,passed,start,end,orchestration_s,session_s,generation_s,billed_usd,sole_usd,steps,tokens_in,tokens_out
abs-module-cache-flags,k3-high,run1,1,1786539375.896,1786539877.849,502.0,416.3,259.4,1.0956,7.7629,60,2101527,28202
abs-module-cache-flags,k3-low,run1,0,1786539375.898,1786539697.875,322.0,238.3,109.8,0.3552,2.5988,48,1019855,13586
abs-module-cache-flags,k3,run1,0,1786539375.898,1786540098.693,722.8,636.5,575.7,2.8161,18.2279,78,3729808,44128
abs-module-cache-flags,k3-high,run2,1,1786539375.899,1786539864.429,488.5,402.9,251.0,1.0269,7.273,61,2001237,26695
abs-module-cache-flags,k3-low,run2,0,1786539375.899,1786539655.555,279.7,195.8,92.0,0.2648,1.9678,34,736596,12382
abs-module-cache-flags,k3,run2,1,1786539375.898,1786540110.914,735.0,650.7,598.7,2.9715,19.0239,68,3576871,44151
abs-module-cache-flags,k3-high,run3,0,1786539375.906,1786539846.714,470.8,386.0,235.7,0.9794,6.8667,61,1856089,25671
abs-module-cache-flags,k3-low,run3,0,1786539375.906,1786539733.733,357.8,274.8,126.9,0.4509,3.2892,56,1345372,16382
abs-module-cache-flags,k3,run3,1,1786539375.901,1786540064.065,688.2,606.0,538.8,2.6398,16.937,84,5092676,40050
abs-module-cache-flags,k3-high,run4,1,1786539655.560,1786540070.090,414.5,339.5,216.5,1.153,7.9053,47,1411844,24247
abs-module-cache-flags,k3-low,run4,0,1786539697.880,1786540035.459,337.6,262.7,120.1,0.635,4.3857,60,1498736,15797
abs-module-cache-flags,k3,run4,1,1786539375.907,1786539952.661,576.8,495.8,436.6,2.1254,13.3437,84,3399127,34650
abs-stepped-slices,k3-high,run1,0,1786539846.723,1786540407.389,560.7,488.2,356.1,2.0913,13.0026,58,2321635,38621
abs-stepped-slices,k3-low,run1,1,1786539864.436,1786540192.581,328.1,259.1,151.6,0.8883,5.5349,44,1358870,19747
abs-stepped-slices,k3,run1,1,1786539733.739,1786540365.526,631.8,563.3,514.6,3.0212,18.7932,66,3341539,48195
abs-stepped-slices,k3-high,run2,1,1786539952.669,1786540394.840,442.2,372.0,236.5,1.4554,8.6365,53,1736272,31497
