task,complexity,trials,passes,pass_rate_pct,avg_cost_usd
awilix-async-container-initialization,3.7,4,0,0.0,7.43
csstree-shorthand-expansion-compression,2.2,4,0,0.0,5.2
dateutil-rfc5545-timezone-interop,3.0,4,0,0.0,7.02
expr-try-catch-errors,8.9,4,0,0.0,17.95
koota-deferred-mutation-buffer,5.0,4,0,0.0,10.06
arktype-json-schema-refs-dependencies,9.0,4,1,25.0,14.69
bandit-structured-nosec-directives,4.1,4,1,25.0,7.91
claude-code-by-agents-recursive-delegation,0.3,4,1,25.0,3.62
fd-deterministic-multi-key-sorting,2.5,4,1,25.0,6.77
optique-conditional-option-dependencies,6.7,4,1,25.0,13.63
abs-stepped-slices,1.7,4,2,50.0,4.3
clack-async-autocomplete-options,1.5,4,2,50.0,4.58
cliffy-config-file-parsing,3.8,4,2,50.0,7.85
fastapi-deprecation-response-headers,3.3,4,2,50.0,5.98
quill-shared-toolbar-focus,5.8,4,2,50.0,11.09
superjson-error-stack-serialization,0.2,4,2,50.0,3.22
actionlint-action-pinning-lint,4.6,4,3,75.0,10.1
kcp-go-multiplexed-kcp-streams,1.4,4,3,75.0,3.54
abs-module-cache-flags,2.4,4,4,100.0,5.06
adaptix-name-mapping-aliases,7.1,4,4,100.0,13.61
aiomonitor-task-snapshots-diff,3.3,4,4,100.0,7.12
anko-default-function-arguments,3.4,4,4,100.0,7.23
anko-typed-variable-bindings,1.4,4,4,100.0,4.88
arcane-drift-detection-baselines,3.6,4,4,100.0,7.32
bandit-incremental-cache-control,5.0,4,4,100.0,9.23
bandit-interprocedural-taint-checks,3.0,4,4,100.0,6.1
boa-hierarchical-evaluation-cancellation,6.0,4,4,100.0,10.15
cattrs-partial-structuring-recovery,3.2,4,4,100.0,7.74
kombu-single-active-consumer-priority,6.9,4,4,100.0,9.56
kombu-virtual-queue-dead-lettering,3.1,4,4,100.0,6.5
psd-tools-blend-range-api,1.9,4,4,100.0,4.86
task-task-graph-export,3.0,4,4,100.0,7.32
yjs-map-conflict-detection,6.1,4,4,100.0,10.95
