task,harness,model,prompt,run,status,start,end,duration_s,outdir
abs-stepped-slices,claude,claude-code/claude-opus-5,v1,4,fail,1787011294.588,1787011952.256,657.7,opus5__abs-stepped-slices__run4
abs-stepped-slices,claude,claude-code/claude-opus-5,v1,1,pass,1787011294.590,1787011967.450,672.9,opus5__abs-stepped-slices__run1
abs-stepped-slices,claude,claude-code/claude-opus-5,v1,3,pass,1787011294.591,1787012035.472,740.9,opus5__abs-stepped-slices__run3
abs-module-cache-flags,claude,claude-code/claude-opus-5,v1,1,pass,1787011294.584,1787012098.852,804.3,opus5__abs-module-cache-flags__run1
abs-stepped-slices,claude,claude-code/claude-opus-5,v1,2,fail,1787011294.591,1787012103.641,809.0,opus5__abs-stepped-slices__run2
abs-module-cache-flags,claude,claude-code/claude-opus-5,v1,3,pass,1787011294.585,1787012154.719,860.1,opus5__abs-module-cache-flags__run3
abs-module-cache-flags,claude,claude-code/claude-opus-5,v1,2,pass,1787011294.586,1787012176.506,881.9,opus5__abs-module-cache-flags__run2
abs-module-cache-flags,claude,claude-code/claude-opus-5,v1,4,pass,1787011294.587,1787012200.496,905.9,opus5__abs-module-cache-flags__run4
actionlint-action-pinning-lint,claude,claude-code/claude-opus-5,v1,2,pass,1787011294.591,1787012236.039,941.4,opus5__actionlint-action-pinning-lint__run2
actionlint-action-pinning-lint,claude,claude-code/claude-opus-5,v1,1,fail,1787011294.591,1787012309.590,1015.0,opus5__actionlint-action-pinning-lint__run1
aiomonitor-task-snapshots-diff,claude,claude-code/claude-opus-5,v1,2,pass,1787012200.501,1787012935.922,735.4,opus5__aiomonitor-task-snapshots-diff__run2
actionlint-action-pinning-lint,claude,claude-code/claude-opus-5,v1,4,pass,1787011967.454,1787012998.377,1030.9,opus5__actionlint-action-pinning-lint__run4
actionlint-action-pinning-lint,claude,claude-code/claude-opus-5,v1,3,pass,1787011952.261,1787013068.792,1116.5,opus5__actionlint-action-pinning-lint__run3
aiomonitor-task-snapshots-diff,claude,claude-code/claude-opus-5,v1,1,pass,1787012176.511,1787013080.849,904.3,opus5__aiomonitor-task-snapshots-diff__run1
aiomonitor-task-snapshots-diff,claude,claude-code/claude-opus-5,v1,3,pass,1787012236.045,1787013193.176,957.1,opus5__aiomonitor-task-snapshots-diff__run3
adaptix-name-mapping-aliases,claude,claude-code/claude-opus-5,v1,1,pass,1787012035.477,1787013208.410,1172.9,opus5__adaptix-name-mapping-aliases__run1
aiomonitor-task-snapshots-diff,claude,claude-code/claude-opus-5,v1,4,pass,1787012309.596,1787013237.567,928.0,opus5__aiomonitor-task-snapshots-diff__run4
adaptix-name-mapping-aliases,claude,claude-code/claude-opus-5,v1,2,pass,1787012098.858,1787013401.358,1302.5,opus5__adaptix-name-mapping-aliases__run2
adaptix-name-mapping-aliases,claude,claude-code/claude-opus-5,v1,4,pass,1787012154.726,1787013506.314,1351.6,opus5__adaptix-name-mapping-aliases__run4
adaptix-name-mapping-aliases,claude,claude-code/claude-opus-5,v1,3,pass,1787012103.646,1787013610.172,1506.5,opus5__adaptix-name-mapping-aliases__run3
anko-typed-variable-bindings,claude,claude-code/claude-opus-5,v1,2,pass,1787013208.417,1787013836.543,628.1,opus5__anko-typed-variable-bindings__run2
anko-typed-variable-bindings,claude,claude-code/claude-opus-5,v1,3,pass,1787013237.573,1787013880.814,643.2,opus5__anko-typed-variable-bindings__run3
anko-typed-variable-bindings,claude,claude-code/claude-opus-5,v1,1,pass,1787013193.181,1787013881.324,688.1,opus5__anko-typed-variable-bindings__run1
anko-default-function-arguments,claude,claude-code/claude-opus-5,v1,2,pass,1787012998.382,1787014135.894,1137.5,opus5__anko-default-function-arguments__run2
anko-default-function-arguments,claude,claude-code/claude-opus-5,v1,1,pass,1787012935.928,1787014138.971,1203.0,opus5__anko-default-function-arguments__run1
anko-typed-variable-bindings,claude,claude-code/claude-opus-5,v1,4,pass,1787013401.363,1787014206.181,804.8,opus5__anko-typed-variable-bindings__run4
anko-default-function-arguments,claude,claude-code/claude-opus-5,v1,3,pass,1787013068.798,1787014217.493,1148.7,opus5__anko-default-function-arguments__run3
anko-default-function-arguments,claude,claude-code/claude-opus-5,v1,4,pass,1787013080.855,1787014309.156,1228.3,opus5__anko-default-function-arguments__run4
arcane-drift-detection-baselines,claude,claude-code/claude-opus-5,v1,1,pass,1787013506.321,1787014828.362,1322.0,opus5__arcane-drift-detection-baselines__run1
