task,setup,run,passed,start,end,orchestration_s,session_s,generation_s,billed_usd,sole_usd,steps,tokens_in,tokens_out
abs-module-cache-flags,opus5,run1,1,1787011294.584,1787012098.852,804.3,688.7,616.7,4.3028,4.3028,76,5043223,50241
abs-module-cache-flags,opus5,run2,1,1787011294.586,1787012176.506,881.9,768.3,698.0,5.1826,5.1826,89,6278642,56410
abs-module-cache-flags,opus5,run3,1,1787011294.585,1787012154.719,860.1,746.9,692.0,5.4914,5.4914,96,6869917,57757
abs-module-cache-flags,opus5,run4,1,1787011294.587,1787012200.496,905.9,790.6,748.7,5.2478,5.2478,81,5933708,64415
abs-stepped-slices,opus5,run1,1,1787011294.590,1787011967.450,672.9,564.9,515.3,4.2064,4.2064,79,5265595,42430
abs-stepped-slices,opus5,run2,0,1787011294.591,1787012103.641,809.0,700.4,649.6,4.8776,4.8776,88,6075415,51358
abs-stepped-slices,opus5,run3,1,1787011294.591,1787012035.472,740.9,633.6,587.3,4.3449,4.3449,78,5162217,49776
abs-stepped-slices,opus5,run4,0,1787011294.588,1787011952.256,657.7,548.8,486.7,3.7688,3.7688,80,4576093,39560
actionlint-action-pinning-lint,opus5,run1,0,1787011294.591,1787012309.590,1015.0,910.5,826.8,9.0834,9.0834,115,12843984,68428
actionlint-action-pinning-lint,opus5,run2,1,1787011294.591,1787012236.039,941.4,833.5,740.6,8.1814,8.1814,104,11419294,62451
actionlint-action-pinning-lint,opus5,run3,1,1787011952.261,1787013068.792,1116.5,1053.4,942.0,12.0112,12.0112,136,18069412,76305
actionlint-action-pinning-lint,opus5,run4,1,1787011967.454,1787012998.377,1030.9,967.1,875.7,11.1334,11.1334,131,16697207,71133
adaptix-name-mapping-aliases,opus5,run1,1,1787012035.477,1787013208.410,1172.9,1070.4,963.1,11.6998,11.6998,138,17195298,79356
adaptix-name-mapping-aliases,opus5,run2,1,1787012098.858,1787013401.358,1302.5,1230.1,1142.2,12.7308,12.7308,139,18609942,90064
adaptix-name-mapping-aliases,opus5,run3,1,1787012103.646,1787013610.172,1506.5,1433.3,1279.5,15.6135,15.6135,169,23812585,97583
adaptix-name-mapping-aliases,opus5,run4,1,1787012154.726,1787013506.314,1351.6,1268.6,1093.9,14.3813,14.3813,173,22473371,81559
aiomonitor-task-snapshots-diff,opus5,run1,1,1787012176.511,1787013080.849,904.3,823.8,767.9,7.1852,7.1852,103,8914977,71880
aiomonitor-task-snapshots-diff,opus5,run2,1,1787012200.501,1787012935.922,735.4,678.2,648.5,5.3313,5.3313,73,6125590,60305
aiomonitor-task-snapshots-diff,opus5,run3,1,1787012236.045,1787013193.176,957.1,905.3,847.7,8.0678,8.0678,105,10716992,74085
aiomonitor-task-snapshots-diff,opus5,run4,1,1787012309.596,1787013237.567,928.0,868.1,823.7,7.8996,7.8996,99,10444444,72627
anko-default-function-arguments,opus5,run1,1,1787012935.928,1787014138.971,1203.0,1101.6,1005.6,6.7496,6.7496,76,7538260,84636
anko-default-function-arguments,opus5,run2,1,1787012998.382,1787014135.894,1137.5,1057.9,969.0,6.0491,6.0491,59,6311503,81306
anko-default-function-arguments,opus5,run3,1,1787013068.798,1787014217.493,1148.7,1076.1,976.1,6.8303,6.8303,85,8023554,79430
anko-default-function-arguments,opus5,run4,1,1787013080.855,1787014309.156,1228.3,1150.0,1057.0,9.2913,9.2913,98,12433900,84759
anko-typed-variable-bindings,opus5,run1,1,1787013193.181,1787013881.324,688.1,579.5,503.7,4.3207,4.3207,72,5252676,43269
anko-typed-variable-bindings,opus5,run2,1,1787013208.417,1787013836.543,628.1,540.2,460.6,4.0025,4.0025,65,4790177,39389
anko-typed-variable-bindings,opus5,run3,1,1787013237.573,1787013880.814,643.2,567.3,517.9,5.0933,5.0933,80,6636659,44477
anko-typed-variable-bindings,opus5,run4,1,1787013401.363,1787014206.181,804.8,732.3,626.4,6.0884,6.0884,82,7956361,53459
arcane-drift-detection-baselines,opus5,run1,1,1787013506.321,1787014828.362,1322.0,1031.1,645.8,7.3255,7.3255,106,9852443,60632
arcane-drift-detection-baselines,opus5,run2,1,1787013610.179,1787014886.996,1276.8,1014.6,693.9,7.4196,7.4196,94,9732687,64502
arcane-drift-detection-baselines,opus5,run3,1,1787013836.550,1787015175.092,1338.5,1075.5,652.7,6.4412,6.4412,93,8279265,61390
arcane-drift-detection-baselines,opus5,run4,1,1787013880.819,1787015137.267,1256.4,993.4,708.8,8.1022,8.1022,109,11132629,65210
arktype-json-schema-refs-dependencies,opus5,run1,0,1787013881.328,1787016255.452,2374.1,2222.0,1451.9,13.9902,13.9902,146,19573385,118319
arktype-json-schema-refs-dependencies,opus5,run2,0,1787014135.900,1787017082.133,2946.2,2824.9,2075.6,21.941,21.941,182,32220359,169390
arktype-json-schema-refs-dependencies,opus5,run3,0,1787014138.977,1787015439.109,1300.1,1180.2,1031.3,8.4112,8.4112,111,10946145,82723
arktype-json-schema-refs-dependencies,opus5,run4,1,1787014206.186,1787016320.133,2113.9,1992.8,1506.7,14.434,14.434,157,20272048,120928
awilix-async-container-initialization,opus5,run1,0,1787014217.498,1787015333.831,1116.3,1027.4,916.6,8.3796,8.3796,105,11157484,76783
awilix-async-container-initialization,opus5,run2,0,1787014309.162,1787015349.028,1039.9,977.4,883.7,7.1319,7.1319,89,9134882,73049
awilix-async-container-initialization,opus5,run3,0,1787014828.368,1787015939.896,1111.5,1049.0,965.1,7.925,7.925,101,10243334,80064
awilix-async-container-initialization,opus5,run4,0,1787014887.002,1787015854.143,967.1,906.1,850.6,6.2758,6.2758,83,7719593,70369
bandit-incremental-cache-control,opus5,run1,1,1787015137.272,1787016368.344,1231.1,1093.9,887.6,8.1507,8.1507,122,10836057,74180
bandit-incremental-cache-control,opus5,run2,1,1787015175.098,1787016478.569,1303.5,1212.7,1038.2,10.0852,10.0852,112,13925276,85123
bandit-incremental-cache-control,opus5,run3,1,1787015333.836,1787016683.803,1350.0,1243.3,1024.2,10.7546,10.7546,132,15216905,87936
bandit-incremental-cache-control,opus5,run4,1,1787015349.035,1787016595.369,1246.3,1140.6,899.4,7.9284,7.9284,97,10284953,76181
bandit-interprocedural-taint-checks,opus5,run1,1,1787015439.114,1787016538.911,1099.8,1010.2,817.6,5.3469,5.3469,69,6114465,64616
bandit-interprocedural-taint-checks,opus5,run2,1,1787015854.149,1787017181.708,1327.6,1267.2,924.4,7.3149,7.3149,102,9727836,68489
bandit-interprocedural-taint-checks,opus5,run3,1,1787015939.902,1787016918.518,978.6,915.9,831.6,5.6413,5.6413,85,6598586,66507
bandit-interprocedural-taint-checks,opus5,run4,1,1787016255.458,1787017391.518,1136.1,1074.5,905.4,6.1007,6.1007,74,7103166,72889
bandit-structured-nosec-directives,opus5,run1,0,1787016320.139,1787017669.375,1349.2,1253.1,1126.1,9.754,9.754,116,13310080,86948
bandit-structured-nosec-directives,opus5,run2,1,1787016368.350,1787017646.864,1278.5,1210.9,976.0,7.7198,7.7198,93,9847174,78197
bandit-structured-nosec-directives,opus5,run3,0,1787016478.576,1787017607.335,1128.8,1058.2,902.0,6.6259,6.6259,79,8110380,72360
bandit-structured-nosec-directives,opus5,run4,0,1787016538.916,1787017758.933,1220.0,1150.6,982.8,7.5343,7.5343,99,9754358,74815
boa-hierarchical-evaluation-cancellation,opus5,run1,1,1787016595.375,1787018861.382,2266.0,1929.3,929.5,8.1674,8.1674,83,8711673,75494
boa-hierarchical-evaluation-cancellation,opus5,run2,1,1787016683.809,1787018933.181,2249.4,1947.7,891.4,9.2204,9.2204,99,12850165,71771
boa-hierarchical-evaluation-cancellation,opus5,run3,1,1787016918.524,1787019892.690,2974.2,2729.4,1136.0,11.0392,11.0392,126,15794569,83949
boa-hierarchical-evaluation-cancellation,opus5,run4,1,1787017082.140,1787020425.705,3343.6,3102.4,1127.4,12.1753,12.1753,104,14021566,84072
cattrs-partial-structuring-recovery,opus5,run1,1,1787017181.713,1787018344.489,1162.8,1094.5,760.3,7.0434,7.0434,82,9054058,63873
cattrs-partial-structuring-recovery,opus5,run2,1,1787017391.523,1787018599.643,1208.1,1143.5,768.0,7.3239,7.3239,83,9853429,63330
cattrs-partial-structuring-recovery,opus5,run3,1,1787017607.340,1787018608.350,1001.0,937.5,689.7,7.477,7.477,94,10559163,55683
cattrs-partial-structuring-recovery,opus5,run4,1,1787017646.870,1787018903.967,1257.1,1205.4,891.0,9.1108,9.1108,93,12444138,74352
clack-async-autocomplete-options,opus5,run1,0,1787017669.381,1787018533.659,864.3,717.0,621.3,4.3021,4.3021,60,4529791,57056
clack-async-autocomplete-options,opus5,run2,1,1787017758.944,1787018551.237,792.3,713.5,615.0,4.1858,4.1858,60,4393791,56265
clack-async-autocomplete-options,opus5,run3,1,1787018344.496,1787019249.603,905.1,830.7,747.0,5.3937,5.3937,76,6264254,63038
clack-async-autocomplete-options,opus5,run4,0,1787018533.668,1787019373.791,840.1,767.0,690.3,4.4207,4.4207,64,4934853,55587
claude-code-by-agents-recursive-delegation,opus5,run1,1,1787018551.245,1787019189.067,637.8,531.7,506.2,3.3645,3.3645,52,3600591,40918
claude-code-by-agents-recursive-delegation,opus5,run2,0,1787018599.657,1787019235.546,635.9,578.3,559.8,2.9079,2.9079,41,2581951,45290
claude-code-by-agents-recursive-delegation,opus5,run3,0,1787018608.600,1787019308.180,699.6,635.7,620.7,4.5274,4.5274,54,5088190,48750
