task,complexity,trials,passes,pass_rate_pct,avg_cost_usd
bandit-structured-nosec-directives,3.2,16,0,0.0,3.55
csstree-shorthand-expansion-compression,2.0,16,0,0.0,2.58
kombu-virtual-queue-dead-lettering,2.4,16,0,0.0,2.55
koota-deferred-mutation-buffer,3.8,16,0,0.0,4.66
optique-conditional-option-dependencies,5.1,16,0,0.0,8.27
superjson-error-stack-serialization,0.4,16,1,6.2,1.62
bandit-incremental-cache-control,1.9,16,2,12.5,2.29
cliffy-config-file-parsing,2.7,16,2,12.5,2.98
quill-shared-toolbar-focus,3.7,16,2,12.5,3.37
dateutil-rfc5545-timezone-interop,3.1,16,3,18.8,3.12
expr-try-catch-errors,5.9,16,3,18.8,6.22
fastapi-deprecation-response-headers,2.5,16,3,18.8,3.05
clack-async-autocomplete-options,1.6,16,4,25.0,2.52
kombu-single-active-consumer-priority,1.8,16,4,25.0,2.62
abs-stepped-slices,1.5,16,5,31.2,2.0
kcp-go-multiplexed-kcp-streams,1.6,16,5,31.2,2.93
aiomonitor-task-snapshots-diff,1.8,16,6,37.5,2.42
boa-hierarchical-evaluation-cancellation,6.3,16,6,37.5,6.91
claude-code-by-agents-recursive-delegation,0.2,16,6,37.5,1.67
anko-typed-variable-bindings,0.9,16,7,43.8,1.94
arktype-json-schema-refs-dependencies,9.1,16,7,43.8,8.53
fd-deterministic-multi-key-sorting,1.7,16,7,43.8,2.75
task-task-graph-export,2.1,16,7,43.8,2.82
bandit-interprocedural-taint-checks,2.2,16,8,50.0,2.13
cattrs-partial-structuring-recovery,2.0,16,8,50.0,2.43
actionlint-action-pinning-lint,2.3,16,10,62.5,2.48
arcane-drift-detection-baselines,2.2,16,10,62.5,3.16
awilix-async-container-initialization,1.5,16,10,62.5,1.79
abs-module-cache-flags,1.9,16,11,68.8,2.0
anko-default-function-arguments,3.6,16,11,68.8,3.84
psd-tools-blend-range-api,2.0,16,11,68.8,2.46
adaptix-name-mapping-aliases,5.0,16,13,81.2,4.52
yjs-map-conflict-detection,3.0,16,13,81.2,3.58
