task,setup,run,passed,start,end,orchestration_s,session_s,generation_s,billed_usd,sole_usd,steps,tokens_in,tokens_out
abs-module-cache-flags,opus,run1,1,1784140585.369,1784141410.087,824.7,733.2,677.2,4.2028,4.2028,83,5011301,48443
abs-module-cache-flags,opus,run2,1,1784140585.387,1784141459.497,874.1,782.4,738.0,4.7256,4.7256,82,5727390,52488
abs-module-cache-flags,opus,run3,1,1784141014.609,1784141882.620,868.0,801.9,840.7,4.8052,4.8052,82,5116362,53848
abs-module-cache-flags,opus,run4,1,1784141198.586,1784141940.301,741.7,676.8,748.8,3.9952,3.9952,69,3787416,48503
abs-stepped-slices,opus,run1,1,1784141459.499,1784142213.645,754.1,692.4,651.0,3.988,3.988,76,4664277,48143
abs-stepped-slices,opus,run2,0,1784141858.325,1784142849.403,991.1,927.1,858.3,5.5741,5.5741,87,6675627,65101
abs-stepped-slices,opus,run3,1,1784141932.913,1784142721.673,788.8,727.1,689.7,4.3339,4.3339,75,5129477,51646
abs-stepped-slices,opus,run4,0,1784142213.647,1784143137.742,924.1,860.4,812.4,4.8153,4.8153,73,5357194,63048
actionlint-action-pinning-lint,opus,run1,1,1784142298.521,1784143064.467,765.9,682.7,644.6,4.3526,4.3526,67,4969790,50212
actionlint-action-pinning-lint,opus,run2,1,1784142721.675,1784143594.619,872.9,814.1,775.4,5.305,5.305,78,6343886,58310
actionlint-action-pinning-lint,opus,run3,1,1784142946.581,1784143844.873,898.3,840.2,783.6,5.5594,5.5594,71,6668525,59037
actionlint-action-pinning-lint,opus,run4,1,1784143139.533,1784143995.403,855.9,797.1,750.7,5.7128,5.7128,73,7103673,56886
adaptix-name-mapping-aliases,opus,run1,1,1784143558.689,1784144997.751,1439.1,1337.0,1158.3,10.3489,10.3489,122,14653974,83118
adaptix-name-mapping-aliases,opus,run2,1,1784143844.875,1784145153.418,1308.5,1242.8,1241.8,11.1473,11.1473,127,15113853,81070
adaptix-name-mapping-aliases,opus,run3,1,1784144290.113,1784145842.252,1552.1,1474.6,1324.6,12.5978,12.5978,146,18485160,91426
adaptix-name-mapping-aliases,opus,run4,1,1784144718.219,1784146231.423,1513.2,1446.6,1378.3,12.3303,12.3303,126,17910347,90908
aiomonitor-task-snapshots-diff,opus,run1,1,1784145153.421,1784145921.490,768.1,700.8,674.3,5.0079,5.0079,75,6025248,52906
aiomonitor-task-snapshots-diff,opus,run2,1,1784145548.489,1784146351.343,802.9,757.4,732.1,5.2779,5.2779,69,6342034,56682
aiomonitor-task-snapshots-diff,opus,run3,1,1784145829.403,1784146607.107,777.7,732.4,702.2,5.3297,5.3297,92,6648697,53992
aiomonitor-task-snapshots-diff,opus,run4,0,1784146045.201,1784146821.104,775.9,730.7,701.8,5.8736,5.8736,81,7759753,51998
anko-default-function-arguments,opus,run1,1,1784146351.345,1784147883.483,1532.1,1444.5,1380.6,8.1825,8.1825,72,9248815,101766
anko-default-function-arguments,opus,run2,1,1784146607.109,1784148229.504,1622.4,1556.2,1469.5,8.9706,8.9706,78,10734782,103620
anko-default-function-arguments,opus,run3,1,1784147052.977,1784148935.166,1882.2,1811.8,1734.0,9.0666,9.0666,84,10407118,114735
anko-default-function-arguments,opus,run4,1,1784147521.901,1784148959.314,1437.4,1369.2,1251.3,8.229,8.229,81,10148820,89682
anko-typed-variable-bindings,opus,run1,0,1784148272.083,1784148947.512,675.4,586.2,547.9,4.1058,4.1058,64,4978521,40438
anko-typed-variable-bindings,opus,run2,0,1784148481.678,1784149109.397,627.7,560.9,521.7,3.5282,3.5282,69,4234081,37672
anko-typed-variable-bindings,opus,run3,1,1784148741.607,1784149391.695,650.1,583.8,544.4,3.8014,3.8014,60,4562932,39463
anko-typed-variable-bindings,opus,run4,0,1784148955.302,1784149748.930,793.6,712.3,777.2,5.5604,5.5604,69,5883205,48054
arcane-drift-detection-baselines,opus,run1,1,1784149151.827,1784150338.024,1186.2,875.5,615.7,5.3385,5.3385,80,6611919,49956
arcane-drift-detection-baselines,opus,run2,1,1784149391.698,1784150684.343,1292.6,1019.8,757.1,6.97,6.97,93,9386983,58758
arcane-drift-detection-baselines,opus,run3,1,1784150244.601,1784151426.873,1182.3,915.1,647.1,5.8875,5.8875,88,7781437,49617
arcane-drift-detection-baselines,opus,run4,1,1784150497.268,1784151663.787,1166.5,903.6,628.3,5.4253,5.4253,82,7066469,49375
arktype-json-schema-refs-dependencies,opus,run1,1,1784151042.814,1784153123.334,2080.5,1926.0,1792.4,11.8785,11.8785,127,14814083,130997
arktype-json-schema-refs-dependencies,opus,run2,1,1784151426.874,1784154438.227,3011.4,2892.1,2643.6,20.7872,20.7872,197,29294628,186051
arktype-json-schema-refs-dependencies,opus,run3,0,1784152949.676,1784154651.250,1701.6,1575.4,1301.5,8.7831,8.7831,113,11084781,94331
arktype-json-schema-refs-dependencies,opus,run4,1,1784154000.329,1784156796.166,2795.8,2678.9,2527.9,18.1166,18.1166,149,22189242,171172
awilix-async-container-initialization,opus,run1,0,1784154758.002,1784155518.739,760.7,681.5,637.2,3.8062,3.8062,60,4207240,47557
awilix-async-container-initialization,opus,run2,0,1784154956.566,1784155767.593,811.0,755.0,722.9,4.1304,4.1304,58,4337758,56468
awilix-async-container-initialization,opus,run3,0,1784155448.413,1784156306.014,857.6,801.2,761.3,5.1928,5.1928,79,6236838,58673
awilix-async-container-initialization,opus,run4,1,1784155643.854,1784156492.365,848.5,792.8,754.1,4.5804,4.5804,65,5165593,57553
bandit-incremental-cache-control,opus,run1,0,1784156120.855,1784156946.656,825.8,712.9,733.2,5.0027,5.0027,64,5292874,51453
bandit-incremental-cache-control,opus,run2,1,1784156513.391,1784157393.808,880.4,792.2,722.3,4.9146,4.9146,74,5854689,54224
bandit-incremental-cache-control,opus,run3,1,1784156726.924,1784157612.054,885.1,797.8,749.1,5.7153,5.7153,71,6898245,62166
bandit-incremental-cache-control,opus,run4,0,1784156946.657,1784158018.239,1071.6,983.6,865.9,6.4439,6.4439,85,8007720,67193
bandit-interprocedural-taint-checks,opus,run1,1,1784157393.810,1784158195.499,801.7,721.1,675.5,4.3893,4.3893,86,5081512,49994
bandit-interprocedural-taint-checks,opus,run2,1,1784157612.056,1784158356.497,744.4,688.4,652.9,4.6541,4.6541,70,5650191,47927
bandit-interprocedural-taint-checks,opus,run3,1,1784158010.124,1784158664.073,653.9,593.9,565.2,3.6462,3.6462,64,4279607,39635
bandit-interprocedural-taint-checks,opus,run4,1,1784158365.679,1784159154.864,789.2,731.1,684.8,4.6712,4.6712,65,5471026,49701
bandit-structured-nosec-directives,opus,run1,0,1784158612.959,1784159759.046,1146.1,1059.4,1108.1,6.7035,6.7035,88,7113856,72885
bandit-structured-nosec-directives,opus,run2,0,1784158886.306,1784160034.781,1148.5,1089.6,1074.9,6.1659,6.1659,71,6728245,73758
bandit-structured-nosec-directives,opus,run3,0,1784201744.047,1784203136.051,1392.0,1221.5,1245.7,6.9541,6.9541,80,7463234,80591
bandit-structured-nosec-directives,opus,run4,0,1784201744.048,1784203182.344,1438.3,1353.0,1407.1,8.8935,8.8935,92,10244950,91327
boa-hierarchical-evaluation-cancellation,opus,run1,1,1784201744.050,1784204035.264,2291.2,1861.0,1388.4,11.1213,11.1213,100,13713768,85238
boa-hierarchical-evaluation-cancellation,opus,run2,1,1784203136.054,1784205814.052,2678.0,2054.3,1206.7,10.6901,10.6901,106,14931915,86284
boa-hierarchical-evaluation-cancellation,opus,run3,0,1784203941.295,1784206488.812,2547.5,2264.8,1328.9,10.2265,10.2265,96,13320230,96340
boa-hierarchical-evaluation-cancellation,opus,run4,0,1784204444.076,1784206553.199,2109.1,1824.8,1291.4,9.4766,9.4766,107,11827641,82550
cattrs-partial-structuring-recovery,opus,run1,0,1784206004.034,1784206915.927,911.9,743.1,598.1,3.8761,3.8761,60,4676263,41142
cattrs-partial-structuring-recovery,opus,run2,0,1784206581.106,1784207638.259,1057.2,1013.0,972.9,6.585,6.585,61,6900275,59308
cattrs-partial-structuring-recovery,opus,run3,0,1784207111.610,1784207942.741,831.1,785.8,635.3,4.2018,4.2018,52,4740014,46305
cattrs-partial-structuring-recovery,opus,run4,0,1784207505.022,1784208219.773,714.8,672.3,499.2,3.1209,3.1209,49,3535471,35175
clack-async-autocomplete-options,opus,run1,0,1784207777.422,1784208875.761,1098.3,1011.4,956.9,6.384,6.384,83,7966446,68239
clack-async-autocomplete-options,opus,run2,0,1784208078.305,1784209196.460,1118.2,1055.7,973.9,5.0878,5.0878,68,5360678,70339
clack-async-autocomplete-options,opus,run3,0,1784208313.811,1784209382.748,1068.9,1006.8,927.1,4.8066,4.8066,59,4764084,70782
clack-async-autocomplete-options,opus,run4,0,1784208848.446,1784209948.694,1100.2,1037.8,924.0,5.2894,5.2894,68,5887602,68096
claude-code-by-agents-recursive-delegation,opus,run1,1,1784209196.463,1784209776.927,580.5,514.1,502.6,2.4985,2.4985,41,2023008,40133
claude-code-by-agents-recursive-delegation,opus,run2,1,1784209382.750,1784210222.570,839.8,746.8,731.1,3.3606,3.3606,31,1892839,50234
claude-code-by-agents-recursive-delegation,opus,run3,0,1784209682.406,1784210229.753,547.3,503.7,490.3,2.5469,2.5469,48,2438154,37938
claude-code-by-agents-recursive-delegation,opus,run4,0,1784209865.414,1784210532.324,666.9,615.9,742.3,3.98,3.98,37,2384717,46215
cliffy-config-file-parsing,opus,run1,0,1784210145.367,1784211197.934,1052.6,962.4,937.1,7.0252,7.0252,81,8896039,64882
cliffy-config-file-parsing,opus,run2,0,1784210272.357,1784211248.910,976.6,926.8,1091.3,7.0962,7.0962,82,7569725,59435
